seed,radius,crop,method,pred,n,rmse,coverage
0,1,1,mean,blend0.01,2644,0.07136132194549308,0.8347201210287444
0,1,1,mean,blend0.02,2644,0.07140062663778579,0.8347201210287444
0,1,1,mean,blend0.03,2644,0.07148397150607017,0.8347201210287444
0,1,1,mean,blend0.05,2644,0.07178208710368458,0.8347201210287444
0,1,1,mean,blend0.08,2644,0.07255317998283307,0.8347201210287444
0,1,1,mean,blend0.1,2644,0.07327788621283782,0.8347201210287444
0,1,1,mean,blend0.15,2644,0.07578961852049443,0.8347201210287444
0,1,1,mean,blend0.2,2644,0.07922071087753729,0.8347201210287444
0,1,1,mean,blend0.3,2644,0.08838518999958296,0.8347201210287444
0,1,1,mean,blend0.4,2644,0.09988849255936179,0.8347201210287444
0,1,0,median,mix,2644,0.2060816709111141,0.8453101361573374
0,1,0,median,blend0.01,2644,0.07137131637292546,0.8453101361573374
0,1,0,median,blend0.02,2644,0.07142167375922165,0.8453101361573374
0,1,0,median,blend0.03,2644,0.07151710693389067,0.8453101361573374
0,1,0,median,blend0.05,2644,0.07184239728060611,0.8453101361573374
0,1,0,median,blend0.08,2644,0.07266125783540826,0.8453101361573374
0,1,0,median,blend0.1,2644,0.07342204063943226,0.8453101361573374
0,1,0,median,blend0.15,2644,0.07603632390379052,0.8453101361573374
0,1,0,median,blend0.2,2644,0.07958334970617625,0.8453101361573374
0,1,0,median,blend0.3,2644,0.0890014889498565,0.8453101361573374
0,1,0,median,blend0.4,2644,0.10076736826059368,0.8453101361573374
0,1,0,median,hard,2644,0.20734109935066344,0.8453101361573374
0,1,0,median,blend0.01,2644,0.0713713869177718,0.8453101361573374
0,1,0,median,blend0.02,2644,0.0714224357917574,0.8453101361573374
0,1,0,median,blend0.03,2644,0.07151917875985715,0.8453101361573374
0,1,0,median,blend0.05,2644,0.07184892148935562,0.8453101361573374
0,1,0,median,blend0.08,2644,0.07267890267262489,0.8453101361573374
0,1,0,median,blend0.1,2644,0.07344990676882274,0.8453101361573374
0,1,0,median,blend0.15,2644,0.07609854397027335,0.8453101361573374
0,1,0,median,blend0.2,2644,0.07969044038856989,0.8453101361573374
0,1,0,median,blend0.3,2644,0.08921971191293157,0.8453101361573374
0,1,0,median,blend0.4,2644,0.10111212052892389,0.8453101361573374
0,1,0,mean,mix,2644,0.2060816709111141,0.8453101361573374
0,1,0,mean,blend0.01,2644,0.07137131637292546,0.8453101361573374
0,1,0,mean,blend0.02,2644,0.07142167375922165,0.8453101361573374
0,1,0,mean,blend0.03,2644,0.07151710693389067,0.8453101361573374
0,1,0,mean,blend0.05,2644,0.07184239728060611,0.8453101361573374
0,1,0,mean,blend0.08,2644,0.07266125783540826,0.8453101361573374
0,1,0,mean,blend0.1,2644,0.07342204063943226,0.8453101361573374
0,1,0,mean,blend0.15,2644,0.07603632390379052,0.8453101361573374
0,1,0,mean,blend0.2,2644,0.07958334970617625,0.8453101361573374
0,1,0,mean,blend0.3,2644,0.0890014889498565,0.8453101361573374
0,1,0,mean,blend0.4,2644,0.10076736826059368,0.8453101361573374
0,1,0,mean,hard,2644,0.20734109935066344,0.8453101361573374
0,1,0,mean,blend0.01,2644,0.0713713869177718,0.8453101361573374
0,1,0,mean,blend0.02,2644,0.0714224357917574,0.8453101361573374
0,1,0,mean,blend0.03,2644,0.07151917875985715,0.8453101361573374
0,1,0,mean,blend0.05,2644,0.07184892148935562,0.8453101361573374
0,1,0,mean,blend0.08,2644,0.07267890267262489,0.8453101361573374
0,1,0,mean,blend0.1,2644,0.07344990676882274,0.8453101361573374
0,1,0,mean,blend0.15,2644,0.07609854397027335,0.8453101361573374
0,1,0,mean,blend0.2,2644,0.07969044038856989,0.8453101361573374
0,1,0,mean,blend0.3,2644,0.08921971191293157,0.8453101361573374
0,1,0,mean,blend0.4,2644,0.10111212052892389,0.8453101361573374
0,2,1,median,mix,2644,0.1980996511279496,0.9761724659606656
0,2,1,median,blend0.01,2644,0.07134855716113145,0.9761724659606656
0,2,1,median,blend0.02,2644,0.07137909870214498,0.9761724659606656
0,2,1,median,blend0.03,2644,0.07145769312373633,0.9761724659606656
0,2,1,median,blend0.05,2644,0.07175831250857088,0.9761724659606656
0,2,1,median,blend0.08,2644,0.07256265271437316,0.9761724659606656
0,2,1,median,blend0.1,2644,0.07332845696767674,0.9761724659606656
0,2,1,median,blend0.15,2644,0.07600359268118992,0.9761724659606656
0,2,1,median,blend0.2,2644,0.07967249156164968,0.9761724659606656
0,2,1,median,blend0.3,2644,0.08947096998491913,0.9761724659606656
0,2,1,median,blend0.4,2644,0.1017305670703938,0.9761724659606656
0,2,1,median,hard,2644,0.19913157679029583,0.9761724659606656
0,2,1,median,blend0.01,2644,0.07134704083624796,0.9761724659606656
0,2,1,median,blend0.02,2644,0.07137666421512989,0.9761724659606656
0,2,1,median,blend0.03,2644,0.07145493974576317,0.9761724659606656
0,2,1,median,blend0.05,2644,0.0717567114412048,0.9761724659606656
0,2,1,median,blend0.08,2644,0.07256716495800891,0.9761724659606656
